CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Grado en Applied Mathematics and Computing / Matemática Aplicada y Computación,Sí,"12,64"
Aragón,Huesca,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias de la Salud y del Deporte,Grado en Medicina,No,"12,64"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Ciencia y Tecnología,Grado en Bioquímica y Biología Molecular,No,"12,64"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Matemáticas,Doble Grado en Estadística / Grado en Finanzas y Contabilidad,No,"12,63"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Medicina y Enfermería,Grado en Odontología,No,"12,62"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Medicina y Odontología,Grado en Medicina,No,"12,61"
Baleares,Baleares,Pública,Universidad de las Illes Balears,Presencial,Facultad de Medicina,Grado en Medicina,No,"12,61"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Biomédica,No,"12,61"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias de la Educación,Doble Grado en Educación Primaria / Grado en Estudios Ingleses,No,"12,61"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Criminología,No,"12,61"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Biología,Grado en Biotecnología,No,"12,61"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela de Ingeniería de Fuenlabrada,Doble Grado en Ingeniería en Tecnologías de la Telecomunicación / Grado en Ingeniería Aeroespacial en Aeronavegación,No,"12,6"
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Medicina y Enfermería,Grado en Enfermería,No,"12,6"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Farmacia,Doble Grado en Farmacia / Grado en Nutrición Humana y Dietética,No,"12,59"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias,Grado en Matemáticas,No,"12,59"
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Ciencias de la Salud,Grado en Medicina,No,"12,59"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería de Telecomunicación,Grado en Ingeniería Física,No,"12,58"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Filosofía y Letras,Doble Grado en Traducción e Interpretación / Grado en Lenguas Modernas. Cultura y Comunicación (Francés),No,"12,58"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería de Telecomunicación,Doble Grado en Ingeniería Civil / Grado en Matemáticas,No,"12,57"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Medicina y Odontología,Grado en Odontología,No,"12,57"
Región de Murcia,Murcia,Pública,Universidad Politécnica de Cartagena,Presencial,Centro Universitario de la Defensa,Grado en Tecnología y Operaciones Militares Aeroespaciales,No,"12,57"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias de la Salud,Grado en Fisioterapia,No,"12,56"
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,"Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa",Grado en Ingeniería en Vehículos Aeroespaciales,No,"12,56"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Humanidades,Doble Grado en Geografía e historia / Grado en Relaciones internacionales,No,"12,56"
Canarias,Santa Cruz,Pública,Universidad de La Laguna,Presencial,Facultad de Ciencias de la Salud,Grado en Medicina,No,"12,56"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Filosofía y Letras,Doble Grado en Estudios Ingleses / Grado en Filología Clásica,No,"12,55"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Odontología,No,"12,55"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Biología,Grado en Biotecnología,No,"12,55"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Farmacia y Ciencias de la Alimentación,Doble Grado en Farmacia / Grado en Nutrición Humana y Dietética,No,"12,54"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Filología,Doble Grado en Filología clásica / Grado en Filología hispánica,No,"12,54"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Químicas,Grado en Bioquímica,No,"12,52"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Educación,Doble Grado en Educación infantil / Grado en Educación primaria,No,"12,52"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela de Ingeniería de Fuenlabrada,Grado en Ingeniería Biomédica / Bachelor in Biomedical Engineering,Sí,"12,51"
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Medicina,Grado en Medicina,No,"12,51"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Biomédica,No,"12,51"
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Ciencias de la Educación,Doble Grado en Educación Infantil / Grado en Educación Primaria,No,"12,5"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Ciencias de la Salud,Grado en Enfermería,No,"12,5"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Facultad de Ciencias,Grado en Biología Sanitaria,No,"12,5"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Matemáticas,Grado en Ingeniería Matemática,No,"12,49"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Farmacia,Doble Grado en Farmacia / Grado en Óptica y Optometría,No,"12,49"
Cataluña,Girona,Pública,Universidad de Girona,Presencial,Facultad de Medicina,Grado en Medicina,No,"12,49"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingenieros Industriales,Grado en Ingeniería de Organización,No,"12,48"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Odontología,No,"12,47"
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Economía y Empresa,Grado en Estudios Internacionales de Economía y Empresa / International Business Economics,Sí,"12,47"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Agronómica y del Medio Natural,Doble Grado en Biotecnología / Grado en Ingeniería Agroalimentaria y del Medio Rural,No,"12,47"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Ciencias,Grado en Física,No,"12,46"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Filosofía y Letras,Doble Grado en Historia del Arte / Grado en Historia,No,"12,46"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Ingeniería Biomédica,No,"12,45"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Ciencias Experimentales,Grado en Biotecnología,No,"12,44"
Cataluña,Tarragona,Pública,Universidad Rovira i Virgili,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Medicina,No,"12,44"
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Facultad de Medicina,Grado en Medicina,No,"12,43"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingeniería Aeronáutica y del Espacio,Grado en Ingeniería Aeroespacial,No,"12,43"
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Administración y Dirección de Empresas,No,"12,43"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Derecho / Grado en Economía,No,"12,42"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Farmacia,Doble Grado en Nutrición Humana y Dietética / Grado en Ciencia y Tecnología de los Alimentos,No,"12,42"
Aragón,Huesca,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias de la Salud y del Deporte,Grado en Odontología,No,"12,42"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Biología,Grado en Biotecnología,No,"12,42"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Ciencias de la Comunicación,Doble Grado en Comunicación Audiovisual / Grado en Periodismo,No,"12,42"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias,Grado en Física,No,"12,42"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingeniería y Diseño Industrial,Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto,No,"12,41"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias,Grado en Bioquímica,No,"12,41"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Ciencia y Tecnología,Grado en Biotecnología,No,"12,41"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Escuela Técnica Superior de Ingeniería Informática,Grado en Ciberseguridad e Inteligencia Artificial,No,"12,41"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería Informática / Grado en Administración de Empresas,No,"12,4"
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Biociencias,Grado en Ciencias Biomédicas,No,"12,39"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultat d´Infermeria i Podologia,Grado en Enfermería,No,"12,38"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Enfermería y Fisioterapia,Grado en Enfermería,No,"12,38"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Economía y Empresa,Doble Grado en Administración y Dirección de Empresas / Grado en Economía,Sí,"12,38"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Facultad de Ciencias,Grado en Criminalística: Ciencias y Tecnologías Forenses,No,"12,37"
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Facultad de Ciencias de la Salud,Grado en Enfermería,No,"12,37"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Ciencias,Grado en Matemáticas,No,"12,36"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Economía,Grado en Inteligencia y Analítica de Negocios / BIA,No,"12,35"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Ciencias Matemáticas,Doble Grado en Matemáticas / Grado en Ingeniería Telemática,No,"12,35"
Cantabria,Cantabria,Pública,Universidad de Cantabria,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Administración y Dirección de Empresas / Grado en Economía,No,"12,35"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro de Enfermería de la Cruz Roja,Grado en Enfermería,No,"12,34"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Química,Doble Grado en Química / Grado en Ingeniería Química,No,"12,34"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Medicina y Enfermería,Grado en Medicina,No,"12,33"
Comunitat Valenciana,Castellón,Pública,Universidad Jaume I de Castellón,Presencial,Escuela Superior de Tecnología y Ciencias Experimentales,Grado en Bioquímica y Biología Molecular,No,"12,32"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Ciencias,Grado en Bioquímica,No,"12,32"
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Facultad de Informática,Grado en Ciencia e Ingeniería de Datos,No,"12,31"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Aeroespacial y Diseño Industrial,Grado en Ingeniería Mecánica,No,"12,31"
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Escuela Técnica Superior de Ingeniería de Telecomunicación,Grado en Ingeniería Física,No,"12,31"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Enfermería y Fisioterapia. Sede de Jerez,Grado en Enfermería,No,"12,3"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Derecho,Grado en Relaciones Internacionales,No,"12,3"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Matemáticas,Grado en Matemáticas,No,"12,3"
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Medicina,Grado en Ingeniería Biomédica,No,"12,29"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Ciencias de la Salud,Grado en Enfermería,No,"12,29"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Matemáticas,Grado en Matemáticas,No,"12,29"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingeniería Aeronáutica y del Espacio,Grado en Ingeniería en Tecnologías Aeroespaciales,No,"12,28"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Escuela Superior de Ingeniería,Grado en Ingeniería Aeroespacial,No,"12,27"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Traducción e Interpretación,Doble Grado en Traducción e Interpretación / Grado en Turismo,No,"12,27"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Biología,Grado en Ciencias Biomédicas,No,"12,27"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Matemáticas e Informática,Grado en Matemáticas,No,"12,26"
Extremadura,Badajoz,Pública,Universidad de Extremadura,Presencial,Facultad de Ciencias,Doble Grado en Matemáticas / Grado en Estadística,No,"12,26"
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Escuela de Ingeniería Informática de Valladolid,Doble Grado en Ingeniería Informática/Grado en Estadística,No,"12,26"
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Ciencias Políticas y Sociales,Grado en Filosofía. Política y Economía,No,"12,26"
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Escuela Técnica Superior de Ingeniería Industrial de Barcelona,Grado en Tecnologías Industriales y Análisis Económico / Industrial Technologies and Economic Analysis,Sí,"12,25"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela de Ingeniería de Fuenlabrada,Grado en Ingeniería Aeroespacial en Vehículos Aeroespaciales,No,"12,24"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Ciencias de la Salud,Grado en Fisioterapia,No,"12,24"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Ciencia y Tecnología,Grado en Física,No,"12,23"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Filosofía y Letras,Doble Grado en Filosofía / Grado en Historia,No,"12,23"
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Ciencias de la Salud,Grado en Enfermería,No,"12,23"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Escuela Superior de Ingeniería,Doble Grado en Ingeniería Mecánica / Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,No,"12,23"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Derecho,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,"12,23"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Filosofía. Política y Economía,No,"12,22"
Baleares,Baleares,Pública,Universidad de las Illes Balears,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería Informática / Grado en Matemáticas,No,"12,22"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Derecho,Doble Grado en Administración y Dirección de Empresa / Grado en Derecho,No,"12,22"
Cantabria,Cantabria,Pública,Universidad de Cantabria,Presencial,Facultad de Enfermería,Grado en Enfermería,No,"12,21"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería Electrónica. Robótica y Mecatrónica,No,"12,21"
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Veterinaria,Grado en Veterinaria,No,"12,18"
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Escuela de Ingeniería,Grado en Ingeniería Biomédica,No,"12,17"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Enfermería,Grado en Enfermería,No,"12,16"
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias,Grado en Física,No,"12,16"
País Vasco,Guipúzcoa,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Escuela de Ingeniería de Guipuzcoa,Doble Grado en Ingeniería Mecánica / Grado en Ingeniería Electrónica Industrial y Automática,No,"12,16"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Facultad de Bellas Artes San Carlos,Grado en Diseño y Tecnologías Creativas,No,"12,16"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Matemáticas,Grado en Matemáticas,No,"12,16"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Escuela Técnica Superior de Ingenierías Informática y de Telecomunicación,Doble Grado en Ingeniería Informática / Grado en Administración y Dirección de Empresas,No,"12,16"
Navarra,Navarra,Pública,Universidad Pública de Navarra,Presencial,"Escuela Técnica Superior de Ingeniería Industrial, Informática y Telecomunicación",Doble Grado en Tecnologías de Telecomunicación / Grado en Ingeniería Biomédica,No,"12,15"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Informática,Doble Grado en Administración y Dirección de Empresas / Grado en Ingeniería Informática,Sí,"12,15"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Física,Grado en Física,No,"12,14"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Matemáticas,Grado en Matemáticas,No,"12,14"
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Enfermería,Grado en Enfermería,No,"12,14"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Física,Doble Grado en Física / Grado en Ingeniería de Materiales,No,"12,14"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Ciencias Biológicas,Grado en Biotecnología,No,"12,13"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Economía,Sí,"12,12"
Comunitat Valenciana,Castellón,Pública,Universidad Jaume I de Castellón,Presencial,Facultad de Ciencias de la Salud,Grado en Enfermería,No,"12,11"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Politécnica de Enseñanza Superior,Grado en Matemáticas,No,"12,09"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Veterinaria,Grado en Veterinaria,No,"12,08"
Navarra,Navarra,Pública,Universidad Pública de Navarra,Presencial,"Escuela Técnica Superior de Ingeniería Industrial, Informática y Telecomunicación",Grado en Ingeniería Biomédica,No,"12,07"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas,Grado en Administración de Empresas//Bachelor in Business Administration,Sí,"12,07"
Galicia,Ourense,Pública,Universidad de Vigo,Presencial,Escuela de Ingeniería Aeronáutica y del Espacio,Grado en Ingeniería Aeroespacial,No,"12,06"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Ciencias,Grado en Física,No,"12,06"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Psicología y Logopedia,Doble Grado en Psicología / Grado en Logopedia,No,"12,06"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Físicas,Grado en Física,No,"12,06"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Enfermería y Fisioterapia,Grado en Fisioterapia,No,"12,06"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela de Ingeniería de Fuenlabrada,Grado en Ingeniería Aeroespacial en Aeronavegación,Sí,"12,05"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Doble Grado en Ciencia e Ingeniería de Datos / Grado en Ingeniería en Tecnologías de Telecomunicación,Sí,"12,05"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Ciencias,Grado en Matemáticas,No,"12,04"
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Medicina y Enfermería,Grado en Fisioterapia,No,"12,04"
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Ciencias,Grado en Matemáticas,No,"12,04"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingeniería de Sistemas Informáticos,Grado en Ciencia de Datos e Inteligencia Artificial,No,"12,03"
